class	protein_id	protein_dir	seq_length	mean_plddt	median_plddt	std_plddt	min_plddt	max_plddt	ptm	ranking_score	af3_fraction_disordered	plddt_n	plddt_center	plddt_c	mean_disorder	median_disorder	std_disorder	disorder_fraction	disorder_mean_n	disorder_frac_n	disorder_mean_center	disorder_frac_center	disorder_mean_c	disorder_frac_c	mean_hydropathy	net_charge	pos_charge_frac	neg_charge_frac	global_entropy	lc_fraction	homorepeat_fraction	simple_repeat_fraction	frac_A	frac_C	frac_D	frac_E	frac_F	frac_G	frac_H	frac_I	frac_K	frac_L	frac_M	frac_N	frac_P	frac_Q	frac_R	frac_S	frac_T	frac_V	frac_W	frac_Y	helix_fraction	strand_fraction	coil_fraction	helix_frac_n	strand_frac_n	coil_frac_n	helix_frac_center	strand_frac_center	coil_frac_center	helix_frac_c	strand_frac_c	coil_frac_c	tm_count	has_signal_peptide	tm_fraction	sp_fraction	tm_frac_n	tm_frac_center	tm_frac_c	class_label
conserved	A0A0B4JCV2	conserved_799_A0A0B4JCV2___cons_859	67	78.11724	83.9	10.064239	45.43875	90.56999	0.56	0.6	0.09	73.770905	79.332275	80.10499	0.1595522388059701	0.099	0.1766722940998037	0.0746268656716417	0.2436470588235294	0.2352941176470588	0.1556666666666666	0.0	0.083	0.0588235294117647	-0.5671641791044777	0.1194029850746268	0.1940298507462686	0.0746268656716417	4.002239474388044	0.0	0.0	0.0	0.0298507462686567	0.1194029850746268	0.0597014925373134	0.0149253731343283	0.0298507462686567	0.0746268656716417	0.0298507462686567	0.044776119402985	0.0746268656716417	0.0298507462686567	0.044776119402985	0.044776119402985	0.044776119402985	0.0	0.0895522388059701	0.1343283582089552	0.0298507462686567	0.0298507462686567	0.0149253731343283	0.0597014925373134	0.1940298507462686	0.2388059701492537	0.5671641791044776	0.0	0.1764705882352941	0.8235294117647058	0.3939393939393939	0.2121212121212121	0.3939393939393939	0.0	0.3529411764705882	0.6470588235294118	0	0	0.0	0.0	0.0	0.0	0.0	conserved
conserved	A0A0B4JCZ3	conserved_1623_A0A0B4JCZ3___cons_1750	102	83.52157	92.7225	15.193804	38.86	97.92857	0.79	0.8	0.03	83.28404	83.68097	83.45257	0.0831176470588235	0.0155	0.1281506148308995	0.0588235294117647	0.2168846153846154	0.1538461538461538	0.01288	0.0	0.0844230769230769	0.0769230769230769	-1.0264705882352942	0.2156862745098039	0.284313725490196	0.0686274509803921	4.117002415600455	0.0098039215686274	0.0294117647058823	0.0	0.0490196078431372	0.0196078431372549	0.0392156862745098	0.0294117647058823	0.0392156862745098	0.0294117647058823	0.0490196078431372	0.0490196078431372	0.1274509803921568	0.0686274509803921	0.0294117647058823	0.0490196078431372	0.0588235294117647	0.0294117647058823	0.1078431372549019	0.0588235294117647	0.0784313725490196	0.0294117647058823	0.0098039215686274	0.0490196078431372	0.0	0.3725490196078431	0.6274509803921569	0.0	0.2307692307692307	0.7692307692307693	0.0	0.5	0.5	0.0	0.2692307692307692	0.7307692307692307	0	0	0.0	0.0	0.0	0.0	0.0	conserved
conserved	A0A0B4JD94	conserved_2108_A0A0B4JD94___cons_2270	134	79.57771	93.884995	24.746258	12.747499	98.09666	0.76	0.84	0.17	51.437386	89.981384	87.522644	0.177955223880597	0.015	0.3376615484302223	0.1791044776119403	0.5974117647058824	0.6176470588235294	0.0176060606060606	0.0	0.0697647058823529	0.088235294117647	-0.3522388059701494	0.0298507462686567	0.1417910447761194	0.1119402985074626	4.064053552762858	0.0	0.0	0.0	0.0820895522388059	0.0597014925373134	0.0597014925373134	0.0522388059701492	0.0522388059701492	0.0522388059701492	0.0298507462686567	0.044776119402985	0.1044776119402985	0.0746268656716417	0.0746268656716417	0.0597014925373134	0.0223880597014925	0.0746268656716417	0.0074626865671641	0.044776119402985	0.0671641791044776	0.0298507462686567	0.0	0.0074626865671641	0.5522388059701493	0.0298507462686567	0.417910447761194	0.3823529411764705	0.0	0.6176470588235294	0.6515151515151515	0.0606060606060606	0.2878787878787879	0.5294117647058824	0.0	0.4705882352941176	0	1	0.0	0.1417910447761194	0.0	0.0	0.0	conserved
conserved	A0A0B4JDE2	conserved_288_A0A0B4JDE2___cons_307	76	76.771805	86.685	17.173717	33.93182	94.824	0.68	0.8	0.25	73.95467	86.92508	59.282394	0.1083815789473684	0.0245	0.1690162096451314	0.131578947368421	0.147	0.1578947368421052	0.013	0.0	0.2605263157894737	0.3684210526315789	-0.8092105263157894	0.2368421052631579	0.2894736842105263	0.0526315789473684	3.798062424695676	0.0	0.0	0.0	0.0526315789473684	0.0526315789473684	0.0526315789473684	0.0	0.0263157894736842	0.0526315789473684	0.0526315789473684	0.0657894736842105	0.0526315789473684	0.0394736842105263	0.0263157894736842	0.0921052631578947	0.0	0.0	0.1842105263157894	0.0657894736842105	0.0921052631578947	0.0657894736842105	0.0	0.0263157894736842	0.0657894736842105	0.3947368421052631	0.5394736842105263	0.0	0.5263157894736842	0.4736842105263157	0.131578947368421	0.5	0.3684210526315789	0.0	0.0526315789473684	0.9473684210526316	0	0	0.0	0.0	0.0	0.0	0.0	conserved
conserved	A0A0B4K6C0	conserved_2019_A0A0B4K6C0___cons_2178	56	66.405136	67.2275	26.382273	32.706253	97.37667	0.45	0.75	0.61	39.796886	66.87817	92.06733	0.4149464285714285	0.2975	0.3862439370347498	0.4821428571428571	0.8517142857142856	1.0	0.3573928571428571	0.4642857142857143	0.0932857142857142	0.0	0.2464285714285714	0.0357142857142857	0.0892857142857142	0.0535714285714285	3.801306771539554	0.0892857142857142	0.125	0.0	0.0357142857142857	0.1071428571428571	0.0178571428571428	0.0357142857142857	0.0178571428571428	0.0714285714285714	0.0178571428571428	0.0714285714285714	0.0	0.0357142857142857	0.0714285714285714	0.0	0.0357142857142857	0.0357142857142857	0.0714285714285714	0.1785714285714285	0.0892857142857142	0.0714285714285714	0.0	0.0357142857142857	0.0535714285714285	0.125	0.8214285714285714	0.0	0.0	1.0	0.1071428571428571	0.0714285714285714	0.8214285714285714	0.0	0.3571428571428571	0.6428571428571429	0	1	0.0	0.3035714285714285	0.0	0.0	0.0	conserved
conserved	A0A0B4K6C3	conserved_1573_A0A0B4K6C3___cons_1697	98	69.18206	71.3475	17.626904	37.71417	98.524	0.38	0.86	0.96	48.162373	69.09195	90.38949	0.2859285714285714	0.067	0.3348650520624441	0.3469387755102041	0.7901250000000001	1.0	0.1273	0.14	0.1122083333333333	0.125	-0.1377551020408163	0.0612244897959183	0.1632653061224489	0.1020408163265306	3.970407586713613	0.0	0.0	0.0	0.0714285714285714	0.0	0.0306122448979591	0.0714285714285714	0.0510204081632653	0.0816326530612244	0.010204081632653	0.0408163265306122	0.1020408163265306	0.0816326530612244	0.0204081632653061	0.0204081632653061	0.0510204081632653	0.0306122448979591	0.0510204081632653	0.0714285714285714	0.0510204081632653	0.1224489795918367	0.0	0.0408163265306122	0.5612244897959183	0.0	0.4387755102040816	0.0416666666666666	0.0	0.9583333333333334	0.7	0.0	0.3	0.7916666666666666	0.0	0.2083333333333333	1	0	0.2244897959183673	0.0	0.0	0.12	0.6666666666666666	conserved
conserved	A0A0B4K6K5	conserved_1689_A0A0B4K6K5___cons_1819	57	60.90524	54.23	16.620834	39.324448	92.25286	0.36	0.86	1.0	86.34302	56.095825	45.429813	0.5684035087719298	0.498	0.272792232532977	0.6842105263157895	0.9072857142857144	1.0	0.4432758620689655	0.3793103448275862	0.4887142857142857	1.0	-0.019298245614035	0.0350877192982456	0.1403508771929824	0.1052631578947368	3.731303173057082	0.0	0.0	0.0	0.1052631578947368	0.0	0.0350877192982456	0.0701754385964912	0.0175438596491228	0.1052631578947368	0.0	0.1403508771929824	0.1228070175438596	0.0350877192982456	0.0350877192982456	0.0526315789473684	0.0	0.0175438596491228	0.0175438596491228	0.087719298245614	0.0	0.0701754385964912	0.0350877192982456	0.0526315789473684	0.3157894736842105	0.2105263157894736	0.4736842105263157	0.9285714285714286	0.0	0.0714285714285714	0.1724137931034483	0.4137931034482758	0.4137931034482758	0.0	0.0	1.0	0	1	0.0	0.3333333333333333	0.0	0.0	0.0	conserved
conserved	A0A0B4K755	conserved_2034_A0A0B4K755___cons_2193	64	85.883316	92.2375	11.220809	52.253	96.901665	0.58	0.8	0.44	81.2385	84.89453	92.505714	0.325734375	0.096	0.3604938958683397	0.390625	0.798375	1.0	0.22378125	0.28125	0.057	0.0	0.6499999999999999	0.015625	0.078125	0.0625	3.838774838855391	0.015625	0.0	0.0	0.046875	0.125	0.046875	0.015625	0.015625	0.125	0.015625	0.0625	0.015625	0.171875	0.03125	0.03125	0.03125	0.0625	0.046875	0.0	0.0625	0.0625	0.015625	0.015625	0.484375	0.1875	0.328125	0.9375	0.0	0.0625	0.5	0.09375	0.40625	0.0	0.5625	0.4375	0	1	0.0	0.3125	0.0	0.0	0.0	conserved
conserved	A0A0B4K7Q5	conserved_991_A0A0B4K7Q5___cons_1067	64	73.541916	76.72	10.949758	52.193638	92.272	0.3	0.8	1.0	81.87343	67.035065	78.22411	0.682296875	0.593	0.2375255828953207	0.90625	0.990875	1.0	0.66515625	1.0	0.408	0.625	0.1156249999999999	0.125	0.171875	0.046875	3.787819761843708	0.015625	0.09375	0.0	0.125	0.015625	0.015625	0.03125	0.046875	0.03125	0.03125	0.078125	0.03125	0.09375	0.03125	0.0	0.171875	0.015625	0.109375	0.03125	0.0625	0.0625	0.0	0.015625	0.59375	0.0	0.40625	0.9375	0.0	0.0625	0.46875	0.0	0.53125	0.5	0.0	0.5	0	1	0.0	0.296875	0.0	0.0	0.0	conserved
conserved	A0A0B4KEC6	conserved_1617_A0A0B4KEC6___cons_1744	94	80.952805	82.425	10.703549	51.415	97.704994	0.49	0.87	0.77	85.72266	82.92483	72.40325	0.1030531914893616	0.0395	0.159672875742154	0.0851063829787234	0.2307083333333333	0.25	0.0329565217391304	0.0	0.10975	0.0833333333333333	0.0170212765957446	0.0851063829787234	0.1489361702127659	0.0638297872340425	4.107544109692273	0.0	0.0319148936170212	0.0	0.0319148936170212	0.0425531914893617	0.0212765957446808	0.0425531914893617	0.0531914893617021	0.0851063829787234	0.0319148936170212	0.1063829787234042	0.0744680851063829	0.0851063829787234	0.0212765957446808	0.0319148936170212	0.0531914893617021	0.0425531914893617	0.0425531914893617	0.0319148936170212	0.0744680851063829	0.0531914893617021	0.0	0.0744680851063829	0.6808510638297872	0.0	0.3191489361702128	0.9166666666666666	0.0	0.0833333333333333	0.7391304347826086	0.0	0.2608695652173913	0.3333333333333333	0.0	0.6666666666666666	1	0	0.202127659574468	0.0	0.0	0.4130434782608695	0.0	conserved
